,video_id,view_count,like_count,comment_count,tags
85,tcc3iPFU1qc,1281140,15040,2564,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '赤ちゃん', '育児']"
86,DXWbq29irto,1910800,20496,2103,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'アプリ', '面白い', '恋愛']"
87,wUmczUJEnn4,741412,9401,1429,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'PS4', 'フォートナイト', '面白い']"
88,C3k9Z1hlzgk,334640,6788,669,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', '自然', '山', 'ホラー', 'ホラーゲーム']"
89,Uld_hwm7OVQ,361356,9303,1792,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'Hatoful Boyfriend', 'バカゲー', '恋愛', '恋愛ゲーム', '面白い', 'ハト']"
90,8Gu2KAi3soE,1636785,14893,2262,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'フォートナイト', 'Fortnite', 'バトルロイヤル', '面白い']"
91,PVYWQLOssHU,1203210,9976,1314,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'バカゲー', '面白い', '死神', '事故']"
92,A3V73NKHJ4E,782831,10037,1725,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'カービィ', 'ニンテンドースイッチ', '面白い']"
93,eAGsL7fMHZY,805671,23427,4152,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'コメント']"
94,Kv7XSvZBRUU,1111746,22130,2480,"['pockysweets', 'ポッキー', '実況プレイ', 'ゲーム実況', 'YouTube', 'Youtuber', 'pocky', 'game', '実況', 'ゆーちゅーぶ', 'ユーチューブ', 'スマホ', 'アプリ', '感動', '涙']"
